#,Team Name,League,Division,Team Payroll,W,L,WPct,Rank,lgRank,mlbRank,Last Yr Payroll,Top Salary
1,New York Yankees,AL,East,197962289,95,67,.586,1,1,3,202689028,Alex Rodriguez (1)
2,Philadelphia Phillies,NL,East,174538938,81,81,.500,3,8,16,172976379,Cliff Lee (9)
3,Boston Red Sox,AL,East,173186617,69,93,.426,5,12,25,161762475,Adrian Gonzalez (8)
4,Los Angeles Angels,AL,West,154485166,89,73,.549,0,5,9,138543166,Vernon Wells (2)
5,Detroit Tigers,AL,Central,132300000,88,74,.543,1,6,10,105700231,Prince Fielder (5)
6,Texas Rangers,AL,West,120510974,93,69,.574,2,2,6,92299264,Michael Young (28)
7,Miami Marlins,NL,East,118078000,69,93,.426,5,13,24,56944000,Carlos Zambrano (16)
8,Seattle Mariners,AL,West,117620683,75,87,.463,4,9,20,86524600,Felix Hernandez (15)
9,St. Louis Cardinals,NL,Central,110300862,88,74,.543,2,5,11,105433572,Matt Holliday (27)
10,Milwaukee Brewers,NL,Central,97653944,83,79,.512,3,7,14,85497333,Zack Greinke (49)
11,Chicago White Sox,AL,Central,96919500,85,77,.525,2,7,13,127789000,Jake Peavy (24)
12,Los Angeles Dodgers,NL,West,95143575,86,76,.531,2,6,12,104188999,Ted Lilly (64)
13,Minnesota Twins,AL,Central,94085000,66,96,.407,5,14,27,112737000,Joe Mauer (5)
14,New York Mets,NL,East,93353983,74,88,.457,4,12,21,118847309,Johan Santana (3)
15,Chicago Cubs,NL,Central,88197033,61,101,.377,5,15,29,125047329,Alfonso Soriano (16)
16,Atlanta Braves,NL,East,83309942,94,68,.580,2,4,4,87002692,Chipper Jones (42)
17,Cincinnati Reds,NL,Central,82203616,97,65,.599,1,2,2,75947134,Brandon Phillips (54)
18,San Francisco Giants,NL,West,81978100,94,68,.580,1,3,5,118198333,Barry Zito (16)
19,Baltimore Orioles,AL,East,81428999,93,69,.574,2,3,7,85304038,Nick Markakis (56)
20,Washington Nationals,NL,East,81336143,98,64,.605,1,1,1,63856928,Jayson Werth (48)
21,Cleveland Baseball Team,AL,Central,78430300,68,94,.420,4,13,26,49190566,Derek Lowe (34)
22,Colorado Rockies,NL,West,78069571,64,98,.395,5,14,28,88148071,Jorge De La Rosa (74)
23,Toronto Blue Jays,AL,East,75489200,73,89,.451,4,10,22,62567800,Jose Bautista (42)
24,Arizona Diamondbacks,NL,West,74284833,81,81,.500,3,9,15,53639833,Stephen Drew (118)
25,Tampa Bay Rays,AL,East,64173500,90,72,.556,3,4,8,41053571,James Shields (113)
26,Pittsburgh Pirates,NL,Central,63431999,79,83,.488,4,10,17,45047000,AJ Burnett (26)
27,Kansas City Royals,AL,Central,60916225,72,90,.444,3,11,23,36126000,Billy Butler (102)
28,Houston Astros,NL,Central,60651000,55,107,.340,6,16,30,70694000,Carlos Lee (16)
29,Oakland Athletics,AL,West,55372500,64,68,.485,1,8,18,66536500,Yoenis Cespedes (94)
30,San Diego Padres,NL,West,55244700,76,86,.469,4,11,19,45869140,Huston Street (122)
