,Name,GP,AB,R,H,2B,3B,HR,BB,K,SB,CS,OBA
0,Tyler Anderson SP,2,43,6,15,1,0,3,2,12,2,1,0.349
1,JT Brubaker SP,2,35,2,7,0,0,1,5,10,0,0,0.2
2,Mitch Keller SP,2,31,4,7,1,0,1,5,11,1,0,0.226
3,Chad Kuhl SP,2,20,7,3,2,0,1,8,7,1,0,0.15
4,Duane Underwood Jr. RP,4,26,3,6,2,1,0,2,10,0,0,0.231
5,Chris Stratton RP,4,17,4,5,2,0,1,0,2,0,0,0.294
6,David Bednar RP,5,15,2,2,0,0,2,0,5,0,0,0.133
7,Trevor Cahill SP,1,19,7,9,0,0,2,0,4,0,0,0.474
8,Sam Howard RP,5,13,2,2,0,0,2,3,7,1,0,0.154
9,Clay Holmes RP,5,18,7,6,1,0,1,2,5,1,0,0.33299999999999996
10,Michael Feliz RP,4,16,3,6,4,0,0,1,5,0,0,0.375
11,Kyle Crick RP,3,11,0,1,0,0,0,1,3,0,0,0.091
12,Luis Oviedo SP,2,10,1,1,0,0,1,0,5,0,0,0.1
13,Richard Rodriguez RP,3,7,0,0,0,0,0,1,3,0,0,0.0
14,Phillip Evans 3B,1,3,0,0,0,0,0,0,0,0,0,0.0
15,Wil Crowe SP,1,3,1,1,0,0,0,2,2,0,0,0.33299999999999996
16,Total,9,287,49,71,13,1,15,32,91,6,1,0.247
