,Name,GP,AB,R,H,2B,3B,HR,BB,K,SB,CS,OBA
0,Chad Kuhl SP,3,34,11,7,3,0,2,15,8,2,0,0.20600000000000002
1,Tyler Anderson SP,2,43,6,15,1,0,3,2,12,2,1,0.349
2,JT Brubaker SP,2,35,2,7,0,0,1,5,10,0,0,0.2
3,Trevor Cahill SP,2,37,8,12,0,0,2,2,12,0,0,0.324
4,Mitch Keller SP,2,31,4,7,1,0,1,5,11,1,0,0.226
5,Duane Underwood Jr. RP,4,26,3,6,2,1,0,2,10,0,0,0.231
6,Chris Stratton RP,5,20,4,5,2,0,1,0,4,0,0,0.25
7,Clay Holmes RP,6,21,7,6,1,0,1,3,6,1,0,0.28600000000000003
8,Michael Feliz RP,5,21,3,7,4,0,0,1,6,0,0,0.33299999999999996
9,David Bednar RP,6,17,2,3,0,0,2,2,5,2,0,0.17600000000000002
10,Sam Howard RP,6,16,2,3,0,0,2,4,8,1,0,0.188
11,Luis Oviedo SP,3,20,6,6,1,0,2,2,5,1,0,0.3
12,Kyle Crick RP,4,13,0,1,0,0,0,3,3,0,0,0.077
13,Richard Rodriguez RP,5,14,0,1,0,0,0,1,5,0,0,0.071
14,Phillip Evans 3B,1,3,0,0,0,0,0,0,0,0,0,0.0
15,Wil Crowe SP,1,3,1,1,0,0,0,2,2,0,0,0.33299999999999996
16,Total,11,354,59,87,15,1,17,49,107,10,1,0.24600000000000002
