,Name,GP,AB,R,H,2B,3B,HR,BB,K,SB,CS,OBA
0,Gerrit Cole SP,3,67,3,12,1,0,1,3,29,1,0,0.179
1,Jordan Montgomery SP,2,41,4,9,1,0,2,2,11,1,0,0.22
2,Jameson Taillon SP,2,35,7,11,2,0,3,1,10,0,0,0.314
3,Chad Green RP,5,23,2,2,0,0,0,1,6,0,1,0.087
4,Domingo German SP,2,34,7,12,1,0,4,2,7,0,0,0.353
5,Luis Cessa RP,5,21,0,2,1,0,0,3,10,0,0,0.095
6,Corey Kluber SP,2,26,7,10,1,0,1,5,8,3,0,0.385
7,Lucas Luetge RP,4,27,5,8,3,0,3,0,9,0,0,0.29600000000000004
8,Michael King SP,1,19,0,1,0,0,0,1,3,0,0,0.053
9,Jonathan Loaisiga SP,4,21,0,2,1,0,0,1,8,0,0,0.095
10,Darren O'Day RP,5,17,0,4,0,0,0,1,5,0,0,0.235
11,Nick Nelson SP,3,17,5,5,3,0,0,1,8,0,0,0.294
12,Aroldis Chapman RP,4,14,0,2,2,0,0,1,11,0,0,0.14300000000000002
13,Albert Abreu RP,2,5,1,0,0,0,0,2,3,0,0,0.0
14,Justin Wilson RP,2,6,0,0,0,0,0,1,2,0,0,0.0
15,Total,11,373,41,80,16,0,14,25,130,5,1,0.214
