,Name,GP,AB,RC,RC/27,BB/PA,BB/K,ISOP,SECA,P/PA,XBH,PA,AB/HR,AVG,OBP,SLG,OPS
0,Bryan Reynolds LF,9,34,5.3,5.7,0.081,0.3,0.147,0.20600000000000002,3.57,3,37,34.0,0.324,0.37799999999999995,0.47100000000000003,0.8490000000000001
1,Kevin Newman SS,8,32,0.8,0.8,0.0,0.0,0.031,0.031,2.97,1,32,0.0,0.188,0.188,0.21899999999999997,0.406
2,Colin Moran 3B,9,32,7.9,9.7,0.179,0.47,0.25,0.469,4.26,4,39,16.0,0.313,0.436,0.563,0.998
3,Adam Frazier 2B,8,30,5.1,6.0,0.162,1.5,0.133,0.36700000000000005,3.84,3,37,0.0,0.233,0.37799999999999995,0.36700000000000005,0.745
4,Phillip Evans 3B,8,28,8.0,12.1,0.065,1.0,0.35700000000000004,0.429,3.06,4,31,9.3,0.39299999999999996,0.452,0.75,1.202
5,Gregory Polanco RF,8,28,1.4,1.6,0.17600000000000002,0.55,0.036000000000000004,0.25,4.59,1,34,0.0,0.14300000000000002,0.294,0.179,0.473
6,Jacob Stallings C,8,22,4.5,7.6,0.24100000000000002,1.0,0.091,0.409,3.83,2,29,0.0,0.273,0.44799999999999995,0.364,0.812
7,Erik Gonzalez 2B,8,20,1.3,2.0,0.048,0.25,0.2,0.25,3.29,2,21,20.0,0.15,0.19,0.35,0.54
8,Dustin Fowler CF,9,18,1.8,3.3,0.048,0.13,0.055999999999999994,0.16699999999999998,3.81,1,21,0.0,0.222,0.28600000000000003,0.278,0.563
9,Anthony Alford CF,7,15,-0.8,-1.4,0.16699999999999998,0.25,0.0,0.2,5.28,0,18,0.0,0.0,0.16699999999999998,0.0,0.16699999999999998
10,Wilmer Difo SS,7,11,3.0,11.4,0.0,0.0,0.455,0.455,3.09,3,11,11.0,0.364,0.364,0.818,1.182
11,Michael Perez C,3,9,-0.9,-2.8,0.0,0.0,0.0,0.0,4.11,0,9,0.0,0.0,0.0,0.0,0.0
12,Ke'Bryan Hayes 3B,2,5,1.7,11.6,0.28600000000000003,2.0,0.6,1.0,5.14,1,7,5.0,0.2,0.429,0.8,1.229
13,Tyler Anderson SP,2,4,-0.4,-2.9,0.0,0.0,0.0,0.0,3.5,0,4,0.0,0.0,0.0,0.0,0.0
14,JT Brubaker SP,2,4,0.9,12.2,0.0,0.0,0.0,0.0,3.25,0,4,0.0,0.5,0.5,0.5,1.0
15,Mitch Keller SP,2,3,-0.3,-2.7,0.0,0.0,0.0,0.0,3.0,0,3,0.0,0.0,0.0,0.0,0.0
16,Chad Kuhl SP,2,2,-0.2,-2.7,0.0,0.0,0.0,0.0,1.0,0,2,0.0,0.0,0.0,0.0,0.0
17,Trevor Cahill SP,1,1,-0.1,-2.7,0.0,0.0,0.0,0.0,5.0,0,1,0.0,0.0,0.0,0.0,0.0
18,Total,9,298,38.1,4.4,0.11199999999999999,0.42,0.14800000000000002,0.27899999999999997,3.8,25,340,33.1,0.23199999999999998,0.324,0.379,0.703
