,Name,GP,AB,RC,RC/27,BB/PA,BB/K,ISOP,SECA,P/PA,XBH,PA,AB/HR,AVG,OBP,SLG,OPS
0,Bryan Reynolds LF,11,42,6.1,5.3,0.087,0.36,0.11900000000000001,0.19,3.67,3,46,42.0,0.31,0.37,0.429,0.7979999999999999
1,Kevin Newman SS,10,40,1.5,1.3,0.0,0.0,0.05,0.05,3.13,2,40,0.0,0.2,0.2,0.25,0.45
2,Colin Moran 3B,11,37,8.0,8.3,0.159,0.47,0.21600000000000003,0.405,4.16,4,44,18.5,0.297,0.409,0.514,0.9229999999999999
3,Adam Frazier 2B,10,35,6.9,6.9,0.174,2.0,0.114,0.371,3.89,3,46,0.0,0.257,0.413,0.371,0.784
4,Phillip Evans 3B,10,34,10.1,12.4,0.075,1.0,0.324,0.41200000000000003,3.2,5,40,11.3,0.382,0.475,0.706,1.181
5,Jacob Stallings C,10,30,7.2,9.8,0.21100000000000002,0.89,0.133,0.4,3.89,4,38,0.0,0.33299999999999996,0.474,0.467,0.94
6,Gregory Polanco RF,9,29,1.3,1.4,0.171,0.5,0.034,0.24100000000000002,4.57,1,35,0.0,0.138,0.28600000000000003,0.172,0.45799999999999996
7,Erik Gonzalez 2B,10,29,2.9,3.4,0.033,0.17,0.172,0.207,3.5,3,30,29.0,0.24100000000000002,0.267,0.414,0.68
8,Dustin Fowler CF,11,23,1.3,1.7,0.038,0.1,0.043,0.13,3.73,1,26,0.0,0.174,0.231,0.217,0.44799999999999995
9,Anthony Alford CF,8,19,-1.0,-1.3,0.13,0.2,0.0,0.158,4.96,0,23,0.0,0.0,0.174,0.0,0.174
10,Wilmer Difo SS,9,17,3.5,7.8,0.0,0.0,0.41200000000000003,0.41200000000000003,3.29,4,17,17.0,0.294,0.294,0.706,1.0
11,Michael Perez C,3,9,-0.9,-2.8,0.0,0.0,0.0,0.0,4.11,0,9,0.0,0.0,0.0,0.0,0.0
12,Ke'Bryan Hayes 3B,2,5,1.7,11.6,0.28600000000000003,2.0,0.6,1.0,5.14,1,7,5.0,0.2,0.429,0.8,1.229
13,Tyler Anderson SP,2,4,-0.4,-2.9,0.0,0.0,0.0,0.0,3.5,0,4,0.0,0.0,0.0,0.0,0.0
14,JT Brubaker SP,2,4,0.9,12.2,0.0,0.0,0.0,0.0,3.25,0,4,0.0,0.5,0.5,0.5,1.0
15,Chad Kuhl SP,3,3,-0.3,-1.7,0.0,0.0,0.0,0.0,1.5,0,4,0.0,0.0,0.0,0.0,0.0
16,Mitch Keller SP,2,3,-0.3,-2.7,0.0,0.0,0.0,0.0,3.0,0,3,0.0,0.0,0.0,0.0,0.0
17,Trevor Cahill SP,2,2,-0.2,-2.7,0.0,0.0,0.0,0.0,3.5,0,2,0.0,0.0,0.0,0.0,0.0
18,Total,11,365,47.5,4.5,0.10300000000000001,0.4,0.14,0.26,3.79,31,418,40.6,0.23800000000000002,0.32899999999999996,0.37799999999999995,0.7070000000000001
