,Name,GP,AB,RC,RC/27,BB/PA,BB/K,ISOP,SECA,P/PA,XBH,PA,AB/HR,AVG,OBP,SLG,OPS
0,DJ LeMahieu 2B,11,44,7.1,5.7,0.13699999999999998,0.88,0.159,0.318,3.84,5,51,44.0,0.295,0.392,0.455,0.847
1,Giancarlo Stanton DH,10,40,1.7,1.3,0.07,0.27,0.1,0.175,4.26,2,43,40.0,0.175,0.233,0.275,0.508
2,Gleyber Torres SS,10,39,2.7,2.3,0.114,0.42,0.026000000000000002,0.179,4.27,1,44,0.0,0.205,0.295,0.231,0.526
3,Gio Urshela 3B,10,38,4.4,4.1,0.05,0.25,0.132,0.21100000000000002,3.4,3,40,38.0,0.263,0.3,0.395,0.695
4,Aaron Hicks CF,9,35,2.8,2.6,0.1,0.33,0.114,0.22899999999999998,4.13,2,40,35.0,0.2,0.3,0.314,0.614
5,Aaron Judge RF,9,35,4.8,4.6,0.125,0.63,0.171,0.314,3.9,2,40,17.5,0.257,0.35,0.429,0.779
6,Jay Bruce LF,9,30,1.8,1.8,0.14300000000000002,0.45,0.133,0.3,4.34,2,35,30.0,0.133,0.257,0.267,0.524
7,Clint Frazier LF,9,30,2.5,2.9,0.11800000000000001,0.4,0.067,0.2,4.32,2,34,0.0,0.2,0.294,0.267,0.561
8,Gary Sanchez C,9,30,6.1,7.5,0.139,0.83,0.233,0.4,4.22,3,36,15.0,0.267,0.389,0.5,0.889
9,Brett Gardner LF,8,18,4.0,8.3,0.174,0.67,0.111,0.33299999999999996,4.35,2,23,0.0,0.33299999999999996,0.455,0.444,0.899
10,Rougned Odor 2B,3,12,-0.7,-1.5,0.0,0.0,0.0,0.0,3.75,0,12,0.0,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.33299999999999996
11,Kyle Higashioka C,4,7,4.6,41.8,0.125,1.0,1.0,1.143,3.88,3,8,3.5,0.5710000000000001,0.625,1.571,2.1959999999999997
12,Mike Tauchman CF,6,7,0.3,1.1,0.0,0.0,0.0,0.28600000000000003,4.5,0,8,0.0,0.14300000000000002,0.14300000000000002,0.14300000000000002,0.28600000000000003
13,Tyler Wade SS,6,3,0.3,4.4,0.0,0.0,0.0,0.0,5.33,0,3,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667
14,Total,11,368,42.1,3.8,0.10800000000000001,0.46,0.133,0.266,4.08,27,417,33.5,0.23399999999999999,0.32,0.36700000000000005,0.687
