,Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
0,Bryan Reynolds LF,9,34,4,11,2,0,1,3,16,3,10,0,0.324,0.37799999999999995,0.47100000000000003,0.8490000000000001,0.3
1,Kevin Newman SS,8,32,1,6,1,0,0,1,7,0,2,0,0.188,0.188,0.21899999999999997,0.406,-0.3
2,Colin Moran 3B,9,32,5,10,2,0,2,6,18,7,15,0,0.313,0.436,0.563,0.998,0.5
3,Adam Frazier 2B,8,30,2,7,2,1,0,4,11,6,4,1,0.233,0.37799999999999995,0.36700000000000005,0.745,0.0
4,Phillip Evans 3B,8,28,6,11,1,0,3,4,21,2,2,0,0.39299999999999996,0.452,0.75,1.202,0.5
5,Gregory Polanco RF,8,28,4,4,1,0,0,0,5,6,11,0,0.14300000000000002,0.294,0.179,0.473,-0.2
6,Jacob Stallings C,8,22,3,6,2,0,0,3,8,7,7,0,0.273,0.44799999999999995,0.364,0.812,0.5
7,Erik Gonzalez 2B,8,20,2,3,1,0,1,4,7,1,4,0,0.15,0.19,0.35,0.54,-0.2
8,Dustin Fowler CF,9,18,1,4,1,0,0,2,5,1,8,1,0.222,0.28600000000000003,0.278,0.563,-0.1
9,Anthony Alford CF,7,15,1,0,0,0,0,0,0,3,12,1,0.0,0.16699999999999998,0.0,0.16699999999999998,-0.4
10,Wilmer Difo SS,7,11,2,4,2,0,1,2,9,0,4,0,0.364,0.364,0.818,1.182,0.1
11,Michael Perez C,3,9,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,-0.2
12,Ke'Bryan Hayes 3B,2,5,2,1,0,0,1,2,4,2,1,0,0.2,0.429,0.8,1.229,0.1
13,Tyler Anderson SP,2,4,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
14,JT Brubaker SP,2,4,0,2,0,0,0,3,2,0,1,0,0.5,0.5,0.5,1.0,0.1
15,Mitch Keller SP,2,3,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
16,Chad Kuhl SP,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
17,Trevor Cahill SP,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
18,Total,9,298,34,69,15,1,9,34,113,38,90,3,0.23199999999999998,0.324,0.379,0.703,
