,Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
0,Bryan Reynolds LF,11,42,6,13,2,0,1,4,18,4,11,0,0.31,0.37,0.429,0.7979999999999999,0.2
1,Kevin Newman SS,10,40,2,8,2,0,0,2,10,0,3,0,0.2,0.2,0.25,0.45,-0.3
2,Colin Moran 3B,11,37,5,11,2,0,2,7,19,7,15,0,0.297,0.409,0.514,0.9229999999999999,0.5
3,Adam Frazier 2B,10,35,4,9,2,1,0,5,13,8,4,1,0.257,0.413,0.371,0.784,0.2
4,Phillip Evans 3B,10,34,8,13,2,0,3,5,24,3,3,0,0.382,0.475,0.706,1.181,0.9
5,Jacob Stallings C,10,30,4,10,4,0,0,6,14,8,9,0,0.33299999999999996,0.474,0.467,0.94,0.6
6,Gregory Polanco RF,9,29,4,4,1,0,0,0,5,6,12,0,0.138,0.28600000000000003,0.172,0.45799999999999996,-0.3
7,Erik Gonzalez 2B,10,29,3,7,2,0,1,6,12,1,6,0,0.24100000000000002,0.267,0.414,0.68,-0.1
8,Dustin Fowler CF,11,23,1,4,1,0,0,2,5,1,10,1,0.174,0.231,0.217,0.44799999999999995,-0.2
9,Anthony Alford CF,8,19,1,0,0,0,0,0,0,3,15,1,0.0,0.174,0.0,0.174,-0.4
10,Wilmer Difo SS,9,17,3,5,2,1,1,2,12,0,8,0,0.294,0.294,0.706,1.0,0.1
11,Michael Perez C,3,9,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,-0.2
12,Ke'Bryan Hayes 3B,2,5,2,1,0,0,1,2,4,2,1,0,0.2,0.429,0.8,1.229,0.1
13,Tyler Anderson SP,2,4,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
14,JT Brubaker SP,2,4,0,2,0,0,0,3,2,0,1,0,0.5,0.5,0.5,1.0,0.1
15,Chad Kuhl SP,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
16,Mitch Keller SP,2,3,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
17,Trevor Cahill SP,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
18,Total,11,365,44,87,20,2,9,44,138,43,107,3,0.23800000000000002,0.32899999999999996,0.37799999999999995,0.7070000000000001,
