,Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
0,DJ LeMahieu 2B,11,44,6,13,4,0,1,3,20,7,8,0,0.295,0.392,0.455,0.847,0.3
1,Giancarlo Stanton DH,10,40,3,7,1,0,1,9,11,3,11,0,0.175,0.233,0.275,0.508,-0.3
2,Gleyber Torres SS,10,39,2,8,1,0,0,1,9,5,12,1,0.205,0.295,0.231,0.526,-0.1
3,Gio Urshela 3B,10,38,4,10,2,0,1,4,15,2,8,1,0.263,0.3,0.395,0.695,-0.1
4,Aaron Hicks CF,9,35,3,7,1,0,1,5,11,4,12,0,0.2,0.3,0.314,0.614,0.0
5,Aaron Judge RF,9,35,4,9,0,0,2,5,15,5,8,0,0.257,0.35,0.429,0.779,-0.1
6,Jay Bruce LF,9,30,3,4,1,0,1,3,8,5,11,0,0.133,0.257,0.267,0.524,-0.2
7,Clint Frazier LF,9,30,3,6,2,0,0,0,8,4,10,0,0.2,0.294,0.267,0.561,-0.3
8,Gary Sanchez C,9,30,5,8,1,0,2,4,15,5,6,0,0.267,0.389,0.5,0.889,0.4
9,Brett Gardner LF,8,18,3,6,2,0,0,1,8,4,6,0,0.33299999999999996,0.455,0.444,0.899,0.2
10,Rougned Odor 2B,3,12,2,2,0,0,0,2,2,0,1,0,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.33299999999999996,-0.3
11,Kyle Higashioka C,4,7,3,4,1,0,2,4,11,1,1,0,0.5710000000000001,0.625,1.571,2.1959999999999997,0.4
12,Mike Tauchman CF,6,7,1,1,0,0,0,0,1,0,3,2,0.14300000000000002,0.14300000000000002,0.14300000000000002,0.28600000000000003,-0.1
13,Tyler Wade SS,6,3,2,1,0,0,0,0,1,0,1,0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667,-0.1
14,Total,11,368,44,86,16,0,11,41,135,45,98,4,0.23399999999999999,0.32,0.36700000000000005,0.687,
