,Name,GP,GS,QS,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,P/S,WAR,WHIP,ERA
0,Tyler Anderson SP,2,2,0,0,2,0,0,10.1,15,6,3,2,12,10.5,84.5,-0.1,1.65,5.23
1,JT Brubaker SP,2,2,0,1,0,0,0,9.1,7,2,1,5,10,9.6,78.0,0.4,1.29,1.93
2,Mitch Keller SP,2,2,0,1,1,0,0,8.0,7,4,1,5,11,12.4,78.5,0.0,1.5,4.5
3,Chad Kuhl SP,2,2,0,0,1,0,0,7.0,3,5,1,8,7,9.0,67.5,-0.3,1.57,6.43
4,Duane Underwood Jr. RP,4,0,0,0,0,0,0,6.2,6,3,0,2,10,13.5,0.0,0.0,1.2,4.05
5,Chris Stratton RP,4,0,0,0,0,0,1,4.2,5,4,1,0,2,3.9,0.0,-0.1,1.07,7.71
6,David Bednar RP,5,0,0,0,0,0,1,4.1,2,2,2,0,5,10.4,0.0,0.0,0.46,4.15
7,Trevor Cahill SP,1,1,0,0,1,0,0,4.0,9,7,2,0,4,9.0,73.0,-0.3,2.25,15.75
8,Sam Howard RP,5,0,0,1,1,0,0,4.0,2,2,2,3,7,15.8,0.0,0.0,1.25,4.5
9,Clay Holmes RP,5,0,0,0,0,0,1,4.0,6,7,1,2,5,11.3,0.0,-0.4,2.0,15.75
10,Michael Feliz RP,4,0,0,0,0,0,0,3.1,6,2,0,1,5,13.5,0.0,-0.1,2.1,5.4
11,Kyle Crick RP,3,0,0,0,0,0,0,3.1,1,0,0,1,3,8.1,0.0,0.1,0.6,0.0
12,Luis Oviedo SP,2,0,0,0,0,0,0,3.0,1,1,1,0,5,15.0,0.0,0.1,0.33,3.0
13,Richard Rodriguez RP,3,0,0,0,0,1,0,2.1,0,0,0,1,3,11.6,0.0,0.1,0.43,0.0
14,Phillip Evans 3B,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15,Wil Crowe SP,1,0,0,0,0,0,0,0.2,1,1,0,2,2,27.0,0.0,0.0,4.5,13.5
16,Total,9,9,0,3,6,1,3,76.0,71,46,15,32,91,10.8,142.8,,1.36,5.45
