,Name,GP,GS,QS,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,P/S,WAR,WHIP,ERA
0,Chad Kuhl SP,3,3,0,0,1,0,0,10.2,7,8,2,15,8,6.8,75.7,-0.4,2.06,6.75
1,Tyler Anderson SP,2,2,0,0,2,0,0,10.1,15,6,3,2,12,10.5,84.5,0.0,1.65,5.23
2,JT Brubaker SP,2,2,0,1,0,0,0,9.1,7,2,1,5,10,9.6,78.0,0.4,1.29,1.93
3,Trevor Cahill SP,2,2,0,0,1,0,0,9.0,12,8,2,2,12,12.0,77.5,-0.1,1.56,8.0
4,Mitch Keller SP,2,2,0,1,1,0,0,8.0,7,4,1,5,11,12.4,78.5,0.0,1.5,4.5
5,Duane Underwood Jr. RP,4,0,0,0,0,0,0,6.2,6,3,0,2,10,13.5,0.0,0.0,1.2,4.05
6,Chris Stratton RP,5,0,0,1,0,0,1,5.2,5,4,1,0,4,6.4,0.0,-0.1,0.88,6.35
7,Clay Holmes RP,6,0,0,0,0,0,1,5.1,6,7,1,3,6,10.1,0.0,-0.4,1.69,11.81
8,Michael Feliz RP,5,0,0,0,0,0,0,4.2,7,2,0,1,6,11.6,0.0,0.0,1.71,3.86
9,David Bednar RP,6,0,0,0,0,0,2,4.2,3,2,2,2,5,9.6,0.0,0.0,1.07,3.86
10,Sam Howard RP,6,0,0,1,1,0,1,4.2,3,2,2,4,8,15.4,0.0,0.0,1.5,3.86
11,Luis Oviedo SP,3,0,0,0,1,0,0,4.2,6,6,2,2,5,9.6,0.0,-0.3,1.71,11.57
12,Kyle Crick RP,4,0,0,0,0,0,1,4.1,1,0,0,3,3,6.2,0.0,0.2,0.92,0.0
13,Richard Rodriguez RP,5,0,0,0,0,1,0,4.1,1,0,0,1,5,10.4,0.0,0.2,0.46,0.0
14,Phillip Evans 3B,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15,Wil Crowe SP,1,0,0,0,0,0,0,0.2,1,1,0,2,2,27.0,0.0,0.0,4.5,13.5
16,Total,11,11,0,4,7,1,6,94.0,87,55,17,49,107,10.2,149.1,,1.45,5.27
