,Name,GP,GS,QS,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,P/S,WAR,WHIP,ERA
0,Gerrit Cole SP,3,3,2,2,0,0,0,18.1,12,3,1,3,29,14.2,97.3,1.0,0.82,1.47
1,Jordan Montgomery SP,2,2,1,1,0,0,0,11.0,9,4,2,2,11,9.0,77.5,0.3,1.0,3.27
2,Jameson Taillon SP,2,2,0,0,1,0,0,8.1,11,7,3,1,10,10.8,79.0,-0.1,1.44,7.56
3,Chad Green RP,5,0,0,0,1,1,0,7.2,2,0,0,1,6,7.0,0.0,0.5,0.39,0.0
4,Domingo German SP,2,2,0,0,2,0,0,7.0,12,7,4,2,7,9.0,73.5,-0.2,2.0,9.0
5,Luis Cessa RP,5,0,0,0,0,0,0,6.2,2,0,0,3,10,13.5,0.0,0.3,0.75,0.0
6,Corey Kluber SP,2,2,0,0,1,0,0,6.1,10,4,1,5,8,11.4,68.0,-0.2,2.37,5.68
7,Lucas Luetge RP,4,0,0,0,0,0,1,6.1,8,5,3,0,9,12.8,0.0,-0.1,1.26,7.11
8,Michael King SP,1,0,0,0,0,0,0,6.0,1,0,0,1,3,4.5,0.0,0.3,0.33,0.0
9,Jonathan Loaisiga SP,4,0,0,1,0,0,0,6.0,2,0,0,1,8,12.0,0.0,0.4,0.5,0.0
10,Darren O'Day RP,5,0,0,0,0,0,2,4.1,4,0,0,1,5,10.4,0.0,0.4,1.15,0.0
11,Nick Nelson SP,3,0,0,0,1,0,0,4.0,5,4,0,1,8,18.0,0.0,-0.4,1.5,9.0
12,Aroldis Chapman RP,4,0,0,1,0,1,0,4.0,2,0,0,1,11,24.8,0.0,0.3,0.75,0.0
13,Albert Abreu RP,2,0,0,0,0,0,0,2.0,0,1,0,2,3,13.5,0.0,0.1,1.0,4.5
14,Justin Wilson RP,2,0,0,0,0,0,1,2.0,0,0,0,1,2,9.0,0.0,0.1,0.5,0.0
15,Total,11,11,3,5,6,2,4,100.0,80,35,14,25,130,11.7,148.4,,1.05,3.15
